cell_name,a,b
A2O1A1Ixp33,1.995538e+00,2.363181e+00
AND2x2,7.465840e-01,4.013491e+00
AND2x4,3.725797e-01,-9.508260e-01
AND2x6,2.514438e-01,-1.399941e+00
AND3x1,1.494129e+00,2.210363e+00
AND3x2,7.436198e-01,2.045943e+00
AND3x4,3.698699e-01,1.847330e+00
AND4x1,1.487060e+00,2.489733e+00
AND4x2,7.391495e-01,2.480731e+00
AND5x1,1.495106e+00,1.088431e+00
AND5x2,7.467364e-01,5.016697e+00
AO211x2,6.926128e-01,4.986618e+00
AO21x1,1.372370e+00,1.912144e+00
AO21x2,6.816567e-01,2.317061e+00
AO221x1,1.368169e+00,5.456897e-01
AO221x2,6.790202e-01,3.805985e-02
AO222x2,6.822384e-01,2.891371e+00
AO22x1,1.362008e+00,-1.568434e+00
AO22x2,6.806188e-01,2.100870e+00
AO31x2,6.858484e-01,3.633093e+00
AO322x2,6.809516e-01,1.500945e+00
AO32x1,1.363113e+00,-9.460869e-01
AO32x2,6.839115e-01,5.631595e+00
AO331x1,1.384057e+00,7.872509e+00
AO331x2,6.992366e-01,1.042235e+01
AO332x1,1.394308e+00,9.896931e+00
AO332x2,6.959918e-01,9.977183e+00
AO333x1,1.409655e+00,1.322180e+01
AO333x2,7.025530e-01,1.340486e+01
AO33x2,6.907105e-01,9.102594e+00
AOI211xp5,4.339692e+00,3.043896e+00
AOI21x1,9.712739e-01,9.133739e-01
AOI21xp5,1.783161e+00,1.801796e+00
AOI221xp5,1.092801e+01,5.028114e+00
AOI22xp5,9.903319e+00,5.612290e+00
AOI311xp33,2.276891e+00,1.628519e+00
AOI31xp33,4.326506e-01,3.946140e-01
AOI31xp67,9.681485e-01,1.823907e+00
AOI32xp33,6.320396e-01,1.534247e+00
AOI33xp33,1.445677e+00,2.481089e+00
BUFx10,1.458301e-01,1.490903e+00
BUFx12,1.203216e-01,1.758961e+00
BUFx2,7.470481e-01,5.641869e+00
BUFx24,5.390712e-02,1.651568e+00
BUFx3,4.944794e-01,1.285779e+00
BUFx4,3.659948e-01,-5.578752e+00
BUFx5,2.956638e-01,1.511740e+00
BUFx8,1.822220e-01,-5.048434e+00
DFFASRHQNx1,1.375429e+00,7.955988e+00
DFFHQNx1,1.322813e+00,-4.094099e+00
DFFHQNx2,6.427531e-01,-6.186800e+00
DFFHQNx3,4.031609e-01,-7.552570e+00
DFFHQx4,3.382506e-01,-6.656160e+00
DFFLQNx1,1.322729e+00,-6.134338e+00
DFFLQNx2,6.419317e-01,-8.203540e+00
DFFLQNx3,4.033615e-01,-9.489131e+00
DFFLQx4,3.420213e-01,-8.715630e+00
DHLx1,1.370661e+00,1.545745e+00
DHLx2,6.815829e-01,1.501739e+00
DHLx3,4.528567e-01,1.789388e+00
DLLx1,1.370618e+00,2.074640e+00
DLLx2,6.866594e-01,1.643913e+00
DLLx3,4.532550e-01,2.455364e+00
HAxp5,2.335144e+00,1.368591e+00
ICGx1,8.775076e-01,1.940667e-01
ICGx2,4.346297e-01,-1.942390e-01
ICGx3,2.865496e-01,-1.378834e-01
ICGx4,2.121069e-01,-5.260370e+00
ICGx5,1.630621e-01,-6.149191e+00
INVx1,1.456326e+00,2.348118e+00
INVx11,1.312362e-01,1.992559e+00
