cell,leakage_bottom,leakage_upper
A2O1A1Ixp33,645.501,140.765
AND2x2,1455.6,943.483
AND2x4,2911.21,2048.54
AND2x6,3900.12,2707.82
AND3x1,950.12,633.419
AND3x2,1440.24,960.169
AND3x4,2698.33,1798.9
AND4x1,843.789,562.532
AND4x2,1331.74,887.833
AND5x1,730.549,504.112
AND5x2,1435.49,828.686
AO211x2,1825.42,332.185
AO21x1,1173.6,237.86
AO21x2,1681.09,342.21
AO221x1,1117.56,254.411
AO221x2,1628.31,361.748
AO222x2,1963.19,398.14
AO22x1,1054.34,266.398
AO22x2,1832.01,364.778
AO31x2,2070.71,342.814
AO322x2,1870.05,404.459
AO32x1,1119.31,264.749
AO32x2,1617.07,305.917
AO331x1,1320.57,218.827
AO331x2,1827.82,322.93
AO332x1,1534.66,302.435
AO332x2,2035.31,400.445
AO333x1,1554.49,305.411
AO333x2,2051.83,400.374
AO33x2,1685.53,294.493
AOI211xp5,469.572,163.42
AOI21x1,1214.44,269.411
AOI21xp5,607.22,134.705
AOI221xp5,606.808,147.074
AOI22xp5,830.002,168.018
AOI311xp33,525.075,120.574
AOI31xp33,501.684,138.095
AOI31xp67,1060.06,224.909
AOI32xp33,621.555,169.354
AOI33xp33,697.586,166.436
BUFx10,6037.31,4024.89
BUFx12,7043.54,4695.72
BUFx2,1341.62,838.52
BUFx24,14087.1,9391.42
BUFx3,2012.43,1341.62
BUFx4,2347.85,1677.04
BUFx5,3018.66,2012.45
BUFx8,4695.7,3354.07
CKINVDCx10,5045.59,
CKINVDCx11,5548.68,
CKINVDCx12,6051.76,
CKINVDCx14,7057.93,
CKINVDCx16,8064.1,
CKINVDCx20,10081.4,
CKINVDCx8,4039.42,
DECAPx1,,
DECAPx10,,
DECAPx2,,
DECAPx2b,,
DECAPx4,,
DECAPx6,,
DFFASRHQNx1,2745.3,602.57
DFFHQNx1,2222.82,575.642
DFFHQNx2,2725.98,676.012
DFFHQNx3,3229.15,776.382
DFFHQx4,4738.44,1077.48
DFFLQNx1,2222.82,575.642
DFFLQNx2,2725.98,676.012
DFFLQNx3,3229.15,776.382
DFFLQx4,4738.44,1077.48
DHLx1,1853.88,466.755
DHLx2,2357.1,567.126
DHLx3,2860.31,667.498
DLLx1,1853.88,466.755
DLLx2,2357.1,567.126
DLLx3,2860.31,667.498
FILLER,,
FILLERxp5,,
HAxp5,1328.63,939.623
ICGx1,3098.17,8007.62
ICGx2,3595.53,9183.64
ICGx3,4092.88,10359.7
ICGx4,4590.24,13899.2
ICGx5,5087.6,15075.2
INVx1,503.086,335.392
INVx11,5533.94,3689.31
INVx13,6540.11,4360.1
INVx2,1006.17,670.785
INVx3,1509.26,1006.18
INVx4,2012.34,1341.57
INVx5,2515.43,1676.96
INVx6,3018.51,2012.35
INVx8,4024.68,2683.14
MAJIxp5,885.662,774.704
MAJx2,1892.02,1333.33
MAJx3,2395.2,1668.79
NAND2x1,852.572,568.386
NAND2x1p5,1319.26,771.784
NAND2x2,1705.14,1136.77
NAND2xp5,466.686,284.195
NAND3x1,1015.67,677.12
NAND3x2,2031.33,1354.24
NAND3xp33,399.278,245.949
NAND4xp25,315.196,196.586
NAND4xp75,945.584,711.691
NAND5xp2,243.693,153.93
NOR2x1,806.743,537.834
NOR2x2,1613.49,1075.67
NOR3x1,914.794,609.873
NOR3x2,1829.59,1219.75
NOR3xp33,370.902,225.282
NOR4xp25,282.855,173.697
NOR5xp2,210.541,130.795
O2A1O1Ixp33,630.871,136.552
O2A1O1Ixp5,702.306,110.091
OA211x2,1428.96,305.283
OA21x2,1673.21,331.016
OA221x2,2100.24,341.574
OA222x2,1955.34,389.617
OA22x2,1832.34,369.267
OA31x2,1734.65,331.859
OA331x1,1304.53,224.553
OA331x2,1803.64,321.194
OA332x1,1516.24,300.519
OA332x2,2022.03,403.256
OA333x1,1532.14,307.201
OA333x2,2041.26,412.987
OA33x2,1795.13,334.736
OAI21xp5,675.591,135.323
OAI222xp33,954.353,154.261
OAI22xp5,821.668,164.546
OAI311xp33,542.452,124.94
OAI321xp33,687.027,128.249
OAI322xp33,868.638,157.894
OAI331xp33,805.414,127.913
OAI332xp33,1010.44,197.782
OAI333xp33,1023.02,205.048
OR2x2,1470.62,951.315
OR2x4,2494.21,1721.03
OR3x1,953.006,635.343
OR3x2,1469.14,979.435
OR3x4,2501.41,1667.62
OR4x1,845.782,563.86
OR4x2,1364.08,909.393
OR5x1,729.905,505.753
OR5x2,1249.27,852.002
SDFHx1,2605.37,718.773
SDFHx2,3108.53,819.143
SDFHx3,3611.7,919.514
SDFHx4,6061.62,1019.88
SDFLx1,2940.75,718.773
SDFLx2,3443.92,819.143
SDFLx3,3947.08,919.514
SDFLx4,6061.62,1019.88
TAPCELL,,
TAPCELL_WITH_FILLER,,
TIEHIx1,1.14884,0.818233
TIELOx1,2.12409,0.818233
XNOR2x2,2320.65,1605.32
XNOR2xp5,1328.63,858.83
XOR2x2,2334.97,1610.52
XOR2xp5,1314.3,847.103
