Instance,Cell_Type,Output_Pin,Fanout,Worst_Slack,Path_Count
FE_DBTC88_n1666,INVx4_bottom,FE_DBTC88_n1666/Y,47,481.624969,100
FE_DBTC89_n1665,INVx5_bottom,FE_DBTC89_n1665/Y,52,-47.732403,200
FE_OFC0_reset,INVx1_bottom,FE_OFC0_reset/Y,3,769.286804,100
FE_OFC100_n275,BUFx3_bottom,FE_OFC100_n275/Y,30,381.895416,200
FE_OFC101_n275,BUFx5_bottom,FE_OFC101_n275/Y,48,414.777985,96
FE_OFC102_n275,BUFx3_bottom,FE_OFC102_n275/Y,32,381.895355,64
FE_OFC103_n278,BUFx8_bottom,FE_OFC103_n278/Y,63,368.024170,200
FE_OFC104_n278,BUFx8_bottom,FE_OFC104_n278/Y,66,368.024139,132
FE_OFC105_sbox_data_o_7,BUFx2_bottom,FE_OFC105_sbox_data_o_7/Y,9,171.263779,44
FE_OFC106_sbox_data_o_6,BUFx2_bottom,FE_OFC106_sbox_data_o_6/Y,9,170.579880,44
FE_OFC107_sbox_data_o_5,BUFx2_bottom,FE_OFC107_sbox_data_o_5/Y,9,168.388138,44
FE_OFC108_sbox_data_o_4,BUFx2_bottom,FE_OFC108_sbox_data_o_4/Y,9,180.131027,44
FE_OFC109_sbox_data_o_3,BUFx2_bottom,FE_OFC109_sbox_data_o_3/Y,9,177.503510,44
FE_OFC10_reset,INVx3_bottom,FE_OFC10_reset/Y,22,769.286804,69
FE_OFC110_sbox_data_o_2,BUFx2_bottom,FE_OFC110_sbox_data_o_2/Y,9,164.651794,44
FE_OFC111_sbox_data_o_1,BUFx2_bottom,FE_OFC111_sbox_data_o_1/Y,9,162.156067,44
FE_OFC112_sbox_data_o_0,BUFx2_bottom,FE_OFC112_sbox_data_o_0/Y,9,155.538696,44
FE_OFC116_FE_OFN40_n1121,BUFx3_bottom,FE_OFC116_FE_OFN40_n1121/Y,32,-3.039097,90
FE_OFC118_FE_OFN103_n275,BUFx2_bottom,FE_OFC118_FE_OFN103_n275/Y,21,381.895386,104
FE_OFC11_reset,INVx3_bottom,FE_OFC11_reset/Y,18,771.622559,100
FE_OFC120_FE_OFN87_n279,BUFx4_bottom,FE_OFC120_FE_OFN87_n279/Y,37,313.455200,74
FE_OFC123_FE_OFN84_FE_DBTN89_n1665,BUFx2_bottom,FE_OFC123_FE_OFN84_FE_DBTN89_n1665/Y,22,-47.732403,200
FE_OFC124_FE_OFN84_FE_DBTN89_n1665,BUFx4_bottom,FE_OFC124_FE_OFN84_FE_DBTN89_n1665/Y,11,31.563141,200
FE_OFC12_reset,INVx2_bottom,FE_OFC12_reset/Y,14,769.571716,62
FE_OFC13_reset,INVx1_bottom,FE_OFC13_reset/Y,2,769.286804,48
FE_OFC14_reset,INVx1_bottom,FE_OFC14_reset/Y,2,771.622559,51
FE_OFC15_reset,INVx1_bottom,FE_OFC15_reset/Y,2,774.998596,49
FE_OFC16_reset,INVx1_bottom,FE_OFC16_reset/Y,2,769.571716,49
FE_OFC18_reset,INVx6_bottom,FE_OFC18_reset/Y,43,769.286865,43
FE_OFC19_reset,INVx8_bottom,FE_OFC19_reset/Y,49,771.622559,49
FE_OFC1_reset,BUFx3_bottom,FE_OFC1_reset/Y,17,844.610962,44
FE_OFC21_reset,INVx6_bottom,FE_OFC21_reset/Y,36,777.713074,36
FE_OFC22_reset,INVx2_bottom,FE_OFC22_reset/Y,13,774.998596,13
FE_OFC23_reset,INVx4_bottom,FE_OFC23_reset/Y,27,769.571716,27
FE_OFC24_reset,INVx4_bottom,FE_OFC24_reset/Y,22,776.096436,22
FE_OFC25_FE_OFN14_reset,BUFx5_bottom,FE_OFC25_FE_OFN14_reset/Y,30,795.335144,30
FE_OFC26_FE_OFN12_reset,BUFx5_bottom,FE_OFC26_FE_OFN12_reset/Y,29,808.426697,29
FE_OFC27_FE_OFN7_reset,BUFx5_bottom,FE_OFC27_FE_OFN7_reset/Y,29,817.861145,29
FE_OFC28_FE_OFN4_reset,BUFx4_bottom,FE_OFC28_FE_OFN4_reset/Y,23,839.833130,23
FE_OFC29_FE_OFN1_reset,BUFx4_bottom,FE_OFC29_FE_OFN1_reset/Y,28,844.610962,28
FE_OFC30_FE_DBTN88_n1666,BUFx5_bottom,FE_OFC30_FE_DBTN88_n1666/Y,46,541.078796,46
FE_OFC31_FE_DBTN88_n1666,BUFx4_bottom,FE_OFC31_FE_DBTN88_n1666/Y,38,542.786072,38
FE_OFC32_n268,BUFx3_bottom,FE_OFC32_n268/Y,39,481.554352,100
FE_OFC33_n268,BUFx8_bottom,FE_OFC33_n268/Y,68,481.554352,90
FE_OFC34_n268,BUFx2_bottom,FE_OFC34_n268/Y,23,481.554291,23
